,user_id,item_id,rating
9,36,Floor,2
14,41,Floor,1
27,57,Floor,2
35,65,Floor,1
38,68,Floor,1
50,116,Floor,1
173,251,Floor,2
198,279,Floor,1
200,281,Floor,2
207,288,Floor,2
327,415,Floor,1
364,454,Floor,1
382,475,Floor,1
394,489,Floor,2
414,509,Floor,2
522,635,Floor,2
563,677,Floor,1
585,701,Floor,1
672,799,Floor,2
680,807,Floor,2
700,829,Floor,2
724,856,Floor,2
726,858,Floor,1
749,882,Floor,2
792,928,Floor,1
800,937,Floor,1
885,1029,Floor,1
934,1083,Floor,1
955,1106,Floor,1
994,1156,Floor,2
1102,146,Bride,1
1178,230,Bride,1
1331,393,Bride,2
1375,439,Bride,2
1379,443,Bride,1
1394,459,Bride,2
1401,468,Bride,2
1437,507,Bride,1
1457,529,Bride,2
1489,563,Bride,1
1566,655,Bride,1
1610,701,Bride,1
1722,826,Bride,2
1741,847,Bride,1
1799,909,Bride,1
1877,993,Bride,2
1904,1021,Bride,1
1907,1024,Bride,1
1980,1106,Bride,1
1996,1124,Bride,1
2190,216,Television presenter,2
2237,267,Television presenter,2
2389,427,Television presenter,2
2468,513,Television presenter,2
2480,527,Television presenter,1
2593,657,Television presenter,1
2696,772,Television presenter,2
2715,792,Television presenter,2
2802,885,Television presenter,2
2853,941,Television presenter,2
3035,1143,Television presenter,2
3258,263,Beauty,2
3276,282,Beauty,1
3305,312,Beauty,1
3385,397,Beauty,1
3574,607,Beauty,1
3577,611,Beauty,2
3578,612,Beauty,2
3586,621,Beauty,2
3993,1065,Beauty,2
4003,1075,Beauty,1
4150,116,Trademark,2
4163,130,Trademark,1
4196,167,Trademark,2
4203,174,Trademark,1
4226,198,Trademark,2
4248,224,Trademark,1
4269,247,Trademark,1
4276,255,Trademark,2
4277,256,Trademark,1
4280,260,Trademark,1
4285,265,Trademark,1
4288,268,Trademark,2
4360,345,Trademark,1
4375,361,Trademark,1
4381,367,Trademark,1
4403,390,Trademark,1
4415,402,Trademark,2
4419,407,Trademark,1
4420,408,Trademark,2
4424,412,Trademark,1
4450,439,Trademark,1
4497,492,Trademark,2
4501,496,Trademark,2
4518,513,Trademark,1
4519,514,Trademark,1
4559,558,Trademark,1
4589,595,Trademark,1
4592,599,Trademark,1
4615,625,Trademark,2
4631,644,Trademark,1
4654,668,Trademark,1
4682,698,Trademark,2
4688,705,Trademark,1
4700,719,Trademark,2
4712,732,Trademark,2
4723,745,Trademark,2
4727,749,Trademark,1
4729,753,Trademark,2
4755,781,Trademark,2
4767,794,Trademark,1
4790,818,Trademark,1
4812,842,Trademark,1
4815,846,Trademark,1
4855,888,Trademark,1
4861,895,Trademark,1
4886,922,Trademark,1
4920,960,Trademark,1
4939,979,Trademark,1
4943,983,Trademark,1
4961,1002,Trademark,1
4968,1009,Trademark,1
4990,1035,Trademark,2
4995,1040,Trademark,1
4998,1043,Trademark,2
5017,1064,Trademark,2
5052,1102,Trademark,2
5061,1112,Trademark,1
5073,1126,Trademark,1
5089,1147,Trademark,1
5093,1155,Trademark,2
5124,1197,Trademark,1
5187,129,News,1
5188,130,News,2
5197,141,News,1
5198,142,News,1
5199,143,News,1
5201,145,News,2
5205,149,News,2
5206,150,News,2
5210,154,News,2
5212,157,News,2
5222,168,News,1
5226,172,News,1
5231,177,News,1
5232,178,News,2
5238,185,News,1
5241,188,News,2
5252,199,News,2
5265,216,News,2
5270,221,News,1
5273,224,News,2
5278,230,News,1
5307,262,News,1
5312,267,News,2
5330,286,News,1
5356,313,News,2
5363,321,News,2
5368,326,News,2
5376,336,News,2
5378,338,News,1
5383,343,News,2
5384,344,News,2
5402,363,News,2
5403,364,News,2
5411,372,News,2
5432,394,News,1
5436,398,News,1
5449,412,News,2
5451,414,News,2
5462,425,News,1
5464,427,News,2
5472,435,News,1
5484,448,News,1
5499,464,News,1
5501,468,News,2
5505,473,News,2
5514,484,News,2
5517,487,News,2
5541,511,News,1
5543,513,News,2
5555,527,News,1
5568,541,News,2
5580,554,News,1
5583,557,News,2
5597,572,News,2
5600,575,News,2
5605,580,News,1
5609,584,News,2
5621,603,News,1
5623,605,News,1
5643,630,News,2
5663,652,News,2
5666,655,News,1
5667,656,News,2
5668,657,News,1
5674,663,News,2
5677,666,News,1
5687,676,News,2
5699,689,News,2
5726,720,News,1
5730,724,News,2
5732,726,News,2
5733,728,News,1
5743,740,News,2
5749,746,News,2
5771,772,News,2
5790,792,News,2
5800,802,News,2
5807,809,News,2
5825,829,News,1
5831,835,News,1
5832,836,News,2
5857,864,News,2
5870,878,News,2
5877,885,News,2
5878,886,News,1
5879,887,News,2
5881,889,News,1
5886,895,News,1
5890,900,News,2
5892,902,News,2
5893,903,News,1
5900,910,News,2
5912,923,News,1
5927,939,News,2
5928,941,News,2
5942,955,News,2
5949,964,News,2
5961,976,News,1
5973,988,News,1
5987,1003,News,1
5988,1004,News,2
5990,1006,News,1
5996,1013,News,2
6005,1022,News,2
6007,1024,News,2
6009,1026,News,1
6016,1036,News,2
6027,1047,News,2
6053,1075,News,1
6062,1086,News,1
6082,1108,News,2
6087,1113,News,2
6089,1115,News,1
6096,1124,News,2
6098,1126,News,1
6110,1143,News,2
6119,1156,News,2
6121,1159,News,2
6387,320,Electronic signage,2
6393,326,Electronic signage,2
6495,433,Electronic signage,1
6593,541,Electronic signage,1
6625,575,Electronic signage,1
6940,926,Electronic signage,1
6966,954,Electronic signage,1
7042,1037,Electronic signage,1
7088,1087,Electronic signage,1
7148,1161,Electronic signage,1
7232,123,Twig,1
7243,136,Twig,1
7341,244,Twig,2
7370,276,Twig,1
7419,327,Twig,1
7473,385,Twig,1
7596,516,Twig,1
7657,582,Twig,2
7660,585,Twig,1
7665,596,Twig,1
7712,651,Twig,1
7842,794,Twig,2
7863,816,Twig,2
7889,845,Twig,1
7943,903,Twig,1
7951,911,Twig,1
7957,917,Twig,1
8012,977,Twig,2
8044,1011,Twig,1
8172,1160,Twig,2
8223,52,Facial expression,2
8228,58,Facial expression,1
8234,64,Facial expression,1
8240,70,Facial expression,2
8247,78,Facial expression,1
8251,117,Facial expression,1
8258,125,Facial expression,1
8272,141,Facial expression,2
8273,142,Facial expression,1
8288,158,Facial expression,2
8295,166,Facial expression,1
8302,173,Facial expression,2
8310,181,Facial expression,1
8312,184,Facial expression,2
8318,190,Facial expression,2
8321,193,Facial expression,2
8327,199,Facial expression,2
8338,214,Facial expression,1
8349,225,Facial expression,1
8379,259,Facial expression,1
8390,270,Facial expression,1
8391,271,Facial expression,2
8399,280,Facial expression,1
8412,293,Facial expression,2
8433,315,Facial expression,2
8435,317,Facial expression,1
8438,321,Facial expression,1
8445,328,Facial expression,1
8447,330,Facial expression,2
8452,337,Facial expression,1
8459,344,Facial expression,1
8463,348,Facial expression,1
8470,356,Facial expression,1
8476,362,Facial expression,1
8480,366,Facial expression,1
8488,374,Facial expression,2
8490,376,Facial expression,2
8495,382,Facial expression,2
8505,392,Facial expression,2
8508,395,Facial expression,2
8512,399,Facial expression,2
8520,408,Facial expression,2
8542,430,Facial expression,2
8544,432,Facial expression,1
8547,435,Facial expression,2
8563,453,Facial expression,2
8577,469,Facial expression,1
8579,471,Facial expression,2
8582,475,Facial expression,1
8583,476,Facial expression,2
8585,479,Facial expression,1
8613,508,Facial expression,2
8620,515,Facial expression,1
8646,544,Facial expression,1
8662,561,Facial expression,1
8673,573,Facial expression,2
8691,598,Facial expression,1
8701,610,Facial expression,1
8726,639,Facial expression,1
